INSERT INTO profile VALUES (0,'Carpanin Toor','CarpaninToor@gmail.com','2CR3UD#&','1994-12-10','2023-04-18 18:31:51');
INSERT INTO profile VALUES (46,'Kirtida Hegde','KirtidaHegde@gmail.com','CcC2Tw^F','1985-01-27','2023-04-18 18:32:04');
INSERT INTO profile VALUES (47,'Kessavamohane Halder','KessavamohaneHalder@gmail.com','^c6zfB6&','1993-09-24','2023-04-18 18:32:04');
INSERT INTO profile VALUES (48,'Nila Banerjee','NilaBanerjee@gmail.com','GH43I^RK','1992-05-13','2023-04-18 18:32:04');
INSERT INTO profile VALUES (49,'Keshavan Baral','KeshavanBaral@gmail.com','h*986j^l','2014-02-18','2023-04-18 18:32:04');
INSERT INTO profile VALUES (50,'Indira Padmanabhan','IndiraPadmanabhan@gmail.com','63bGQ%a%','2009-03-16','2023-04-18 18:32:05');
INSERT INTO profile VALUES (51,'Anant Jain','AnantJain@gmail.com','IV@1L66@','1974-02-25','2023-04-18 18:32:05');
INSERT INTO profile VALUES (52,'Dhaval Bahl','DhavalBahl@gmail.com','vK2dK$a9','1970-01-18','2023-04-18 18:32:05');
INSERT INTO profile VALUES (53,'Bakula Bhatia','BakulaBhatia@gmail.com','&8NN1YF%','1994-04-04','2023-04-18 18:32:05');
INSERT INTO profile VALUES (54,'Abhilasha Sharaf','AbhilashaSharaf@gmail.com','JX8&ruX6','1989-11-18','2023-04-18 18:32:06');
INSERT INTO profile VALUES (55,'Nanda Mathai','NandaMathai@gmail.com','7m$ivraw','1976-01-22','2023-04-18 18:32:06');
INSERT INTO profile VALUES (56,'Geeta Rao','GeetaRao@gmail.com','e%Sn$Kn5','1992-10-27','2023-04-18 18:32:06');
INSERT INTO profile VALUES (57,'Indu Prashad','InduPrashad@gmail.com','Ki@4x!SC','2020-05-24','2023-04-18 18:32:07');
INSERT INTO profile VALUES (58,'Madhuri Batra','MadhuriBatra@gmail.com','22Huqi7$','2007-11-02','2023-04-18 18:32:07');
INSERT INTO profile VALUES (59,'Djayssen Gokhale','DjayssenGokhale@gmail.com','8hn2a@xk','2015-01-04','2023-04-18 18:32:07');
INSERT INTO profile VALUES (60,'Manjula Ram','ManjulaRam@gmail.com','#1#PSMCu','1974-07-01','2023-04-18 18:32:07');
INSERT INTO profile VALUES (61,'Chatrapatty Parmar','ChatrapattyParmar@gmail.com','#9TtKN4y','2001-02-27','2023-04-18 18:32:08');
INSERT INTO profile VALUES (62,'Darmèsh Hayre','DarmèshHayre@gmail.com','#hx2zrd%','1986-04-11','2023-04-18 18:32:08');
INSERT INTO profile VALUES (63,'Mahesh Natt','MaheshNatt@gmail.com','XDv8^j&3','1985-12-21','2023-04-18 18:32:08');
INSERT INTO profile VALUES (64,'Mohandas Sankaran','MohandasSankaran@gmail.com','%$LlSh1r','1987-02-16','2023-04-18 18:32:08');
INSERT INTO profile VALUES (65,'Lochan Agrawal','LochanAgrawal@gmail.com','5$1pt8$F','2009-01-03','2023-04-18 18:32:09');
INSERT INTO profile VALUES (66,'Nil Saraf','NilSaraf@gmail.com','Vn&FdqO5','1982-07-26','2023-04-18 18:32:09');
INSERT INTO profile VALUES (67,'Jayani Shah','JayaniShah@gmail.com','GV4%lscP','1980-10-05','2023-04-18 18:32:09');
INSERT INTO profile VALUES (68,'Ganesh Pandit','GaneshPandit@gmail.com','tO#QgX35','2018-07-19','2023-04-18 18:32:09');
INSERT INTO profile VALUES (69,'Darshan Nayak','DarshanNayak@gmail.com','6AA41e@v','2013-08-27','2023-04-18 18:32:10');
INSERT INTO profile VALUES (70,'Chanemouga Nanda','ChanemougaNanda@gmail.com','S6hKX!Vp','1991-08-03','2023-04-18 18:32:10');
INSERT INTO profile VALUES (71,'Durga Sur','DurgaSur@gmail.com','9QBC@WfF','1999-03-17','2023-04-18 18:32:10');
INSERT INTO profile VALUES (72,'Manisha Ramesh','ManishaRamesh@gmail.com','s5T2%gFv','1973-03-02','2023-04-18 18:32:10');
INSERT INTO profile VALUES (73,'Jayanta Srinivas','JayantaSrinivas@gmail.com','yP9KXo$w','1999-03-30','2023-04-18 18:32:11');
INSERT INTO profile VALUES (74,'Ananta-Sesa Balay','Ananta-SesaBalay@gmail.com','bg7tdz*K','1978-04-13','2023-04-18 18:32:11');
INSERT INTO profile VALUES (75,'Nitin Batta','NitinBatta@gmail.com','h6*8Z#vu','1978-06-20','2023-04-18 18:32:11');
INSERT INTO profile VALUES (76,'Ananta-Sesa Gara','Ananta-SesaGara@gmail.com','HtkJn$a3','2014-10-30','2023-04-18 18:32:12');
INSERT INTO profile VALUES (77,'Deepali Mehra','DeepaliMehra@gmail.com','VM7SHN*&','2018-11-17','2023-04-18 18:32:12');
INSERT INTO profile VALUES (78,'Gita Balasubramanian','GitaBalasubramanian@gmail.com','0qk3q#PN','2012-07-23','2023-04-18 18:32:12');
INSERT INTO profile VALUES (79,'Nithya Chacko','NithyaChacko@gmail.com','$g%Jo84w','2011-05-19','2023-04-18 18:32:12');
INSERT INTO profile VALUES (80,'Keya Din','KeyaDin@gmail.com','1C1%p5Wy','1995-03-30','2023-04-18 18:32:13');
INSERT INTO profile VALUES (81,'Kashi Jha','KashiJha@gmail.com','Mr*Q9tuf','2012-08-02','2023-04-18 18:32:13');
INSERT INTO profile VALUES (82,'Aditi Sarna','AditiSarna@gmail.com','fyl^n0QC','2008-09-05','2023-04-18 18:32:13');
INSERT INTO profile VALUES (83,'Madhukar Bava','MadhukarBava@gmail.com','IJqSDw5$','1995-06-08','2023-04-18 18:32:13');
INSERT INTO profile VALUES (84,'Avani Dutt','AvaniDutt@gmail.com','Kt26!9Y&','2015-04-20','2023-04-18 18:32:14');
INSERT INTO profile VALUES (85,'Chander Saha','ChanderSaha@gmail.com','!^pz9YdU','2012-02-08','2023-04-18 18:32:14');
INSERT INTO profile VALUES (86,'Kavita Char','KavitaChar@gmail.com','Z@uaAH2y','1972-11-05','2023-04-18 18:32:14');
INSERT INTO profile VALUES (87,'Dipika Bhasin','DipikaBhasin@gmail.com','KYHoA*$2','2011-12-14','2023-04-18 18:32:14');
INSERT INTO profile VALUES (88,'Nishant Buch','NishantBuch@gmail.com','7QB$rrR$','2009-01-21','2023-04-18 18:32:15');
INSERT INTO profile VALUES (89,'Harinder Tailor','HarinderTailor@gmail.com','Bg@!8T80','1975-08-05','2023-04-18 18:32:15');
INSERT INTO profile VALUES (90,'Amrit Randhawa','AmritRandhawa@gmail.com','@#3gtj14','2008-06-04','2023-04-18 18:32:15');
INSERT INTO profile VALUES (91,'Nirmala Ravel','NirmalaRavel@gmail.com','kHge2W!8','2022-10-04','2023-04-18 18:32:16');
INSERT INTO profile VALUES (92,'Indra Thakkar','IndraThakkar@gmail.com','CeH54U!h','1999-10-06','2023-04-18 18:32:16');
INSERT INTO profile VALUES (93,'﻿firstname Shukla','﻿firstnameShukla@gmail.com','ZC0a63d%','1999-10-12','2023-04-18 18:32:16');
INSERT INTO profile VALUES (94,'Dhruva Kala','DhruvaKala@gmail.com','H!16DP&6','2009-12-18','2023-04-18 18:32:16');
INSERT INTO profile VALUES (95,'Devmani Sehgal','DevmaniSehgal@gmail.com','vtxhQ3@x','1995-08-14','2023-04-18 18:32:17');
INSERT INTO profile VALUES (96,'Aruna Keer','ArunaKeer@gmail.com','p$HTg89^','1977-09-15','2023-04-18 18:32:17');
INSERT INTO profile VALUES (97,'Ambâ Ghosh','AmbâGhosh@gmail.com','4&dO2JrX','1998-03-02','2023-04-18 18:32:17');
INSERT INTO profile VALUES (98,'Manish Pau','ManishPau@gmail.com','4%1uaGlY','1999-06-13','2023-04-18 18:32:17');
INSERT INTO profile VALUES (99,'Dipika Bhagat','DipikaBhagat@gmail.com','V1t@oA6h','2008-11-16','2023-04-18 18:32:18');
INSERT INTO profile VALUES (100,'Manjusha Lalla','ManjushaLalla@gmail.com','E1#r10Lg','1993-10-09','2023-04-18 18:32:18');
INSERT INTO profile VALUES (101,'Nitya Sawhney','NityaSawhney@gmail.com','851*wdYi','2011-09-13','2023-04-18 18:32:18');
INSERT INTO profile VALUES (102,'Brijesh Sood','BrijeshSood@gmail.com','&R5SzCyU','1979-11-06','2023-04-18 18:32:19');
INSERT INTO profile VALUES (103,'Devraj Patla','DevrajPatla@gmail.com','t!f0*Wlw','1986-03-06','2023-04-18 18:32:19');
INSERT INTO profile VALUES (104,'Kirti Bhat','KirtiBhat@gmail.com','93Cd2!UJ','1996-03-17','2023-04-18 18:32:19');
INSERT INTO profile VALUES (105,'Chandi Baral','ChandiBaral@gmail.com','78y%^kT9','2007-05-26','2023-04-18 18:32:19');
INSERT INTO profile VALUES (106,'Kistna Pant','KistnaPant@gmail.com','k5d1Z$4b','1973-03-27','2023-04-18 18:32:20');
INSERT INTO profile VALUES (107,'Dhruva Mandal','DhruvaMandal@gmail.com','2y$5*8bG','2005-11-24','2023-04-18 18:32:20');
INSERT INTO profile VALUES (108,'Devmani Dixit','DevmaniDixit@gmail.com','OZ&nw3pn','1995-10-22','2023-04-18 18:32:20');
INSERT INTO profile VALUES (109,'Kamini Bhagat','KaminiBhagat@gmail.com','hXyU8Z^s','1998-06-07','2023-04-18 18:32:20');
INSERT INTO friend VALUES (81,20,2021-11-07,'Lets be friends!');
INSERT INTO friend VALUES (13,38,2021-05-21,'Lets be friends!');
INSERT INTO friend VALUES (106,85,2021-04-27,'Lets be friends!');
INSERT INTO friend VALUES (87,30,2023-04-11,'Lets be friends!');
INSERT INTO friend VALUES (39,31,2023-07-28,'Lets be friends!');
INSERT INTO friend VALUES (87,47,2023-03-16,'Lets be friends!');
INSERT INTO friend VALUES (48,89,2022-11-22,'Lets be friends!');
INSERT INTO friend VALUES (57,28,2022-08-28,'Lets be friends!');
INSERT INTO friend VALUES (41,76,2022-11-14,'Lets be friends!');
INSERT INTO friend VALUES (52,64,2022-08-02,'Lets be friends!');
INSERT INTO friend VALUES (24,31,2021-12-14,'Lets be friends!');
INSERT INTO friend VALUES (93,95,2022-04-04,'Lets be friends!');
INSERT INTO friend VALUES (24,10,2022-02-03,'Lets be friends!');
INSERT INTO friend VALUES (55,109,2021-12-05,'Lets be friends!');
INSERT INTO friend VALUES (30,69,2021-03-26,'Lets be friends!');
INSERT INTO friend VALUES (58,2,2022-06-03,'Lets be friends!');
INSERT INTO friend VALUES (67,43,2023-04-16,'Lets be friends!');
INSERT INTO friend VALUES (89,14,2021-06-14,'Lets be friends!');
INSERT INTO friend VALUES (71,74,2023-04-16,'Lets be friends!');
INSERT INTO friend VALUES (59,19,2021-08-21,'Lets be friends!');
INSERT INTO friend VALUES (79,103,2022-11-07,'Lets be friends!');
INSERT INTO friend VALUES (107,34,2023-02-07,'Lets be friends!');
INSERT INTO friend VALUES (72,54,2023-07-29,'Lets be friends!');
INSERT INTO friend VALUES (46,88,2021-05-20,'Lets be friends!');
INSERT INTO friend VALUES (22,11,2021-11-29,'Lets be friends!');
INSERT INTO friend VALUES (78,15,2021-11-21,'Lets be friends!');
INSERT INTO friend VALUES (41,70,2023-05-07,'Lets be friends!');
INSERT INTO friend VALUES (99,105,2023-02-24,'Lets be friends!');
INSERT INTO friend VALUES (96,26,2022-10-17,'Lets be friends!');
INSERT INTO friend VALUES (86,98,2022-06-04,'Lets be friends!');
INSERT INTO friend VALUES (79,6,2023-05-16,'Lets be friends!');
INSERT INTO friend VALUES (80,5,2022-09-16,'Lets be friends!');
INSERT INTO friend VALUES (93,101,2022-08-09,'Lets be friends!');
INSERT INTO friend VALUES (101,92,2022-07-04,'Lets be friends!');
INSERT INTO friend VALUES (69,25,2023-03-18,'Lets be friends!');
INSERT INTO friend VALUES (60,27,2022-10-23,'Lets be friends!');
INSERT INTO friend VALUES (49,40,2021-04-26,'Lets be friends!');
INSERT INTO friend VALUES (99,68,2022-01-02,'Lets be friends!');
INSERT INTO friend VALUES (81,106,2022-06-20,'Lets be friends!');
INSERT INTO friend VALUES (70,44,2021-09-02,'Lets be friends!');
INSERT INTO friend VALUES (26,22,2023-08-19,'Lets be friends!');
INSERT INTO friend VALUES (68,55,2022-02-11,'Lets be friends!');
INSERT INTO friend VALUES (25,14,2023-10-19,'Lets be friends!');
INSERT INTO friend VALUES (2,88,2022-03-31,'Lets be friends!');
INSERT INTO friend VALUES (95,103,2021-02-21,'Lets be friends!');
INSERT INTO friend VALUES (90,11,2023-05-26,'Lets be friends!');
INSERT INTO friend VALUES (23,103,2022-02-15,'Lets be friends!');
INSERT INTO friend VALUES (82,79,2023-10-22,'Lets be friends!');
INSERT INTO friend VALUES (42,90,2021-11-17,'Lets be friends!');
INSERT INTO friend VALUES (52,57,2022-12-30,'Lets be friends!');
INSERT INTO friend VALUES (86,53,2023-05-15,'Lets be friends!');
INSERT INTO friend VALUES (0,38,2022-11-13,'Lets be friends!');
INSERT INTO friend VALUES (20,67,2023-11-20,'Lets be friends!');
INSERT INTO friend VALUES (55,87,2021-06-03,'Lets be friends!');
INSERT INTO friend VALUES (65,76,2023-10-14,'Lets be friends!');
INSERT INTO friend VALUES (68,48,2023-10-09,'Lets be friends!');
INSERT INTO friend VALUES (68,29,2023-04-11,'Lets be friends!');
INSERT INTO friend VALUES (38,58,2023-06-14,'Lets be friends!');
INSERT INTO friend VALUES (24,40,2022-11-25,'Lets be friends!');
INSERT INTO friend VALUES (89,63,2021-01-12,'Lets be friends!');
INSERT INTO friend VALUES (92,106,2022-08-03,'Lets be friends!');
INSERT INTO friend VALUES (52,65,2021-08-05,'Lets be friends!');
INSERT INTO friend VALUES (45,7,2021-03-10,'Lets be friends!');
INSERT INTO friend VALUES (58,11,2022-05-02,'Lets be friends!');
INSERT INTO friend VALUES (57,68,2021-06-06,'Lets be friends!');
INSERT INTO friend VALUES (46,106,2022-12-08,'Lets be friends!');
INSERT INTO friend VALUES (32,99,2022-04-25,'Lets be friends!');
INSERT INTO friend VALUES (37,16,2021-11-21,'Lets be friends!');
INSERT INTO friend VALUES (102,78,2023-06-20,'Lets be friends!');
INSERT INTO friend VALUES (5,1,2023-10-04,'Lets be friends!');
INSERT INTO friend VALUES (86,52,2022-10-13,'Lets be friends!');
INSERT INTO friend VALUES (27,44,2022-07-28,'Lets be friends!');
INSERT INTO friend VALUES (43,37,2021-03-04,'Lets be friends!');
INSERT INTO friend VALUES (61,56,2021-06-21,'Lets be friends!');
INSERT INTO friend VALUES (80,28,2023-10-22,'Lets be friends!');
INSERT INTO friend VALUES (60,97,2022-10-11,'Lets be friends!');
INSERT INTO friend VALUES (96,103,2021-05-10,'Lets be friends!');
INSERT INTO friend VALUES (61,56,2023-09-08,'Lets be friends!');
INSERT INTO friend VALUES (6,31,2023-12-19,'Lets be friends!');
INSERT INTO friend VALUES (23,103,2022-12-05,'Lets be friends!');
INSERT INTO friend VALUES (108,3,2022-04-27,'Lets be friends!');
INSERT INTO friend VALUES (99,76,2022-09-12,'Lets be friends!');
INSERT INTO friend VALUES (4,96,2023-09-20,'Lets be friends!');
INSERT INTO friend VALUES (105,23,2021-03-06,'Lets be friends!');
INSERT INTO friend VALUES (53,7,2023-12-30,'Lets be friends!');
INSERT INTO friend VALUES (27,40,2022-07-15,'Lets be friends!');
INSERT INTO friend VALUES (96,2,2022-12-10,'Lets be friends!');
INSERT INTO friend VALUES (35,79,2022-05-26,'Lets be friends!');
INSERT INTO friend VALUES (57,62,2021-06-09,'Lets be friends!');
INSERT INTO friend VALUES (10,0,2022-10-05,'Lets be friends!');
INSERT INTO friend VALUES (52,7,2022-04-23,'Lets be friends!');
INSERT INTO friend VALUES (42,109,2022-06-23,'Lets be friends!');
INSERT INTO friend VALUES (82,45,2023-08-01,'Lets be friends!');
INSERT INTO friend VALUES (7,97,2022-06-17,'Lets be friends!');
INSERT INTO friend VALUES (82,62,2023-07-03,'Lets be friends!');
INSERT INTO friend VALUES (4,56,2022-08-28,'Lets be friends!');
INSERT INTO friend VALUES (29,62,2021-01-27,'Lets be friends!');
INSERT INTO friend VALUES (49,91,2021-05-11,'Lets be friends!');
INSERT INTO friend VALUES (77,71,2023-08-31,'Lets be friends!');
INSERT INTO friend VALUES (77,104,2022-09-28,'Lets be friends!');
INSERT INTO friend VALUES (13,85,2021-05-20,'Lets be friends!');
INSERT INTO friend VALUES (76,78,2021-01-12,'Lets be friends!');
INSERT INTO friend VALUES (98,13,2023-02-07,'Lets be friends!');
INSERT INTO friend VALUES (104,91,2021-01-11,'Lets be friends!');
INSERT INTO friend VALUES (89,34,2022-09-19,'Lets be friends!');
INSERT INTO friend VALUES (48,12,2022-09-21,'Lets be friends!');
INSERT INTO friend VALUES (66,24,2023-03-08,'Lets be friends!');
INSERT INTO friend VALUES (106,39,2023-02-06,'Lets be friends!');
INSERT INTO friend VALUES (45,51,2021-04-18,'Lets be friends!');
INSERT INTO friend VALUES (38,23,2023-08-14,'Lets be friends!');
INSERT INTO friend VALUES (44,70,2022-10-25,'Lets be friends!');
INSERT INTO friend VALUES (74,83,2023-09-26,'Lets be friends!');
INSERT INTO friend VALUES (43,73,2021-05-21,'Lets be friends!');
INSERT INTO friend VALUES (35,37,2023-01-25,'Lets be friends!');
INSERT INTO friend VALUES (74,20,2023-10-27,'Lets be friends!');
INSERT INTO friend VALUES (70,80,2021-10-20,'Lets be friends!');
INSERT INTO friend VALUES (69,32,2022-04-13,'Lets be friends!');
INSERT INTO friend VALUES (26,62,2022-12-15,'Lets be friends!');
INSERT INTO friend VALUES (53,5,2022-09-17,'Lets be friends!');
INSERT INTO friend VALUES (79,15,2023-07-16,'Lets be friends!');
INSERT INTO friend VALUES (67,109,2022-08-30,'Lets be friends!');
INSERT INTO friend VALUES (40,58,2022-05-21,'Lets be friends!');
INSERT INTO friend VALUES (64,50,2022-04-04,'Lets be friends!');
INSERT INTO friend VALUES (54,30,2021-01-27,'Lets be friends!');
INSERT INTO friend VALUES (104,87,2023-04-12,'Lets be friends!');
INSERT INTO friend VALUES (62,66,2022-08-22,'Lets be friends!');
INSERT INTO friend VALUES (15,52,2022-02-28,'Lets be friends!');
INSERT INTO friend VALUES (0,9,2023-10-12,'Lets be friends!');
INSERT INTO friend VALUES (0,83,2022-10-14,'Lets be friends!');
INSERT INTO friend VALUES (19,100,2023-07-06,'Lets be friends!');
INSERT INTO friend VALUES (32,74,2021-04-01,'Lets be friends!');
INSERT INTO friend VALUES (34,52,2022-07-26,'Lets be friends!');
INSERT INTO friend VALUES (51,103,2021-06-25,'Lets be friends!');
INSERT INTO friend VALUES (105,81,2022-03-08,'Lets be friends!');
INSERT INTO friend VALUES (74,86,2023-10-25,'Lets be friends!');
INSERT INTO friend VALUES (89,73,2021-05-02,'Lets be friends!');
INSERT INTO friend VALUES (98,39,2021-04-17,'Lets be friends!');
INSERT INTO friend VALUES (94,62,2023-01-24,'Lets be friends!');
INSERT INTO friend VALUES (45,92,2021-10-14,'Lets be friends!');
INSERT INTO friend VALUES (89,12,2023-05-30,'Lets be friends!');
INSERT INTO friend VALUES (109,85,2023-11-13,'Lets be friends!');
INSERT INTO friend VALUES (78,98,2022-12-01,'Lets be friends!');
INSERT INTO friend VALUES (100,44,2023-06-09,'Lets be friends!');
INSERT INTO friend VALUES (15,82,2021-12-23,'Lets be friends!');
INSERT INTO friend VALUES (28,86,2021-01-20,'Lets be friends!');
INSERT INTO friend VALUES (18,109,2021-12-27,'Lets be friends!');
INSERT INTO friend VALUES (19,108,2021-08-24,'Lets be friends!');
INSERT INTO friend VALUES (21,67,2022-11-25,'Lets be friends!');
INSERT INTO friend VALUES (64,88,2021-04-04,'Lets be friends!');
INSERT INTO friend VALUES (64,46,2021-08-10,'Lets be friends!');
INSERT INTO friend VALUES (54,13,2021-10-07,'Lets be friends!');
INSERT INTO friend VALUES (33,72,2023-05-12,'Lets be friends!');
INSERT INTO friend VALUES (89,25,2023-10-20,'Lets be friends!');
INSERT INTO friend VALUES (27,64,2022-02-13,'Lets be friends!');
INSERT INTO friend VALUES (109,64,2023-12-08,'Lets be friends!');
INSERT INTO friend VALUES (98,107,2023-04-18,'Lets be friends!');
INSERT INTO friend VALUES (63,92,2022-01-23,'Lets be friends!');
INSERT INTO friend VALUES (96,45,2022-09-16,'Lets be friends!');
INSERT INTO friend VALUES (77,26,2023-07-17,'Lets be friends!');
INSERT INTO friend VALUES (82,7,2023-08-06,'Lets be friends!');
INSERT INTO friend VALUES (48,2,2022-09-19,'Lets be friends!');
INSERT INTO friend VALUES (88,20,2022-12-07,'Lets be friends!');
INSERT INTO friend VALUES (88,29,2021-07-25,'Lets be friends!');
INSERT INTO friend VALUES (42,33,2022-03-02,'Lets be friends!');
INSERT INTO friend VALUES (29,14,2021-06-15,'Lets be friends!');
INSERT INTO friend VALUES (57,95,2023-10-27,'Lets be friends!');
INSERT INTO friend VALUES (95,45,2021-07-25,'Lets be friends!');
INSERT INTO friend VALUES (93,71,2021-07-21,'Lets be friends!');
INSERT INTO friend VALUES (17,56,2023-03-01,'Lets be friends!');
INSERT INTO friend VALUES (6,37,2023-11-22,'Lets be friends!');
INSERT INTO friend VALUES (58,92,2022-03-13,'Lets be friends!');
INSERT INTO friend VALUES (72,48,2021-10-25,'Lets be friends!');
INSERT INTO friend VALUES (25,89,2022-10-14,'Lets be friends!');
INSERT INTO friend VALUES (97,24,2023-10-09,'Lets be friends!');
INSERT INTO friend VALUES (70,97,2022-04-19,'Lets be friends!');
